chi_name,wind_name
中华企业,600675.SH
雪浪环境,300385.SZ
航天工程,603698.SH
节能风电,601016.SH
中能电气,300062.SZ
中电环保,300172.SZ
中京电子,002579.SZ
*ST华信,002018.SZ
山鼎设计,300492.SZ
中关村,000931.SZ
森特股份,603098.SH
中洲控股,000042.SZ
思创医惠,300078.SZ
盛天网络,300494.SZ
巨人网络,002558.SZ
世纪华通,002602.SZ
信息发展,300469.SZ
东方市场,000301.SZ
中国电影,600977.SH
中国一重,601106.SH
华夏幸福,600340.SH
春风动力,603129.SH
中化岩土,002542.SZ
葛洲坝,600068.SH
长高集团,002452.SZ
中广核技,000881.SZ
中国长城,000066.SZ
茶花股份,603615.SH
中国铝业,601600.SH
*ST中基,000972.SZ
嘉麟杰,002486.SZ
广东骏亚,603386.SH
长安汽车,000625.SZ
常宝股份,002478.SZ
苏常柴A,000570.SZ
乾照光电,300102.SZ
长方集团,300301.SZ
长海股份,300196.SZ
四川长虹,600839.SH
昌红科技,300151.SZ
长久物流,603569.SH
长青股份,002391.SZ
常山药业,300255.SZ
三诺生物,300298.SZ
神力股份,603819.SH
常熟银行,601128.SH
风范股份,601700.SH
瑞特股份,300600.SZ
张裕A,000869.SZ
长源电力,000966.SZ
川恒股份,002895.SZ
长青集团,002616.SZ
超华科技,002288.SZ
红日药业,300026.SZ
奇正藏药,002287.SZ
郴电国际,600969.SH
*ST成城,600247.SH
承德露露,000848.SZ
西菱动力,300733.SZ
澄天伟业,300689.SZ
晨光生物,300138.SZ
诚意药业,603811.SH
诚志股份,000990.SZ
晨曦航空,300581.SZ
华铁股份,000976.SZ
赤峰黄金,600988.SH
济民制药,603222.SH
中煤能源,601898.SH
中设集团,603018.SH
华夏航空,002928.SZ
中国银河,601881.SH
中国应急,300527.SZ
中国高科,600730.SH
中国人寿,601628.SH
中国医药,600056.SH
招商公路,001965.SZ
中宠股份,002891.SZ
中国出版,601949.SH
中国中铁,601390.SH
中信建投,601066.SH
中国神华,601088.SH
中国软件,600536.SH
